antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction;zhangs_metric
frozenset({632, 417, 114, 701});frozenset({514, 3468, 3141});0.16981132075471697;0.1320754716981132;0.11320754716981132;0.6666666666666667;5.047619047619048;0.09077963688145248;2.603773584905661;0.9659090909090909
frozenset({632, 514, 3468, 3141});frozenset({417, 114, 701});0.1320754716981132;0.16981132075471697;0.11320754716981132;0.8571428571428572;5.047619047619048;0.09077963688145248;5.811320754716984;0.9239130434782608
frozenset({417, 114, 701});frozenset({632, 514, 3468, 3141});0.16981132075471697;0.1320754716981132;0.11320754716981132;0.6666666666666667;5.047619047619048;0.09077963688145248;2.603773584905661;0.9659090909090909
frozenset({514, 3468, 3141});frozenset({417, 114, 701});0.1320754716981132;0.16981132075471697;0.11320754716981132;0.8571428571428572;5.047619047619048;0.09077963688145248;5.811320754716984;0.9239130434782608
frozenset({514, 3468, 3141});frozenset({632, 417, 114, 701});0.1320754716981132;0.16981132075471697;0.11320754716981132;0.8571428571428572;5.047619047619048;0.09077963688145248;5.811320754716984;0.9239130434782608
frozenset({417, 114, 701});frozenset({514, 3468, 3141});0.16981132075471697;0.1320754716981132;0.11320754716981132;0.6666666666666667;5.047619047619048;0.09077963688145248;2.603773584905661;0.9659090909090909
frozenset({632, 514, 3141});frozenset({417, 114, 3468, 701});0.1509433962264151;0.16981132075471697;0.11320754716981132;0.75;4.416666666666667;0.08757564969740121;3.3207547169811322;0.9111111111111111
frozenset({514, 3141});frozenset({417, 114, 3468, 701});0.1509433962264151;0.16981132075471697;0.11320754716981132;0.75;4.416666666666667;0.08757564969740121;3.3207547169811322;0.9111111111111111
frozenset({417, 114, 701});frozenset({514, 3141});0.16981132075471697;0.1509433962264151;0.11320754716981132;0.6666666666666667;4.416666666666667;0.08757564969740121;2.5471698113207553;0.9318181818181818
frozenset({417, 114, 3468, 701});frozenset({514, 3141});0.16981132075471697;0.1509433962264151;0.11320754716981132;0.6666666666666667;4.416666666666667;0.08757564969740121;2.5471698113207553;0.9318181818181818
